TITLE="Layer_2"
VARIABLES="Time [s]"
"Flow Rate IN [m^3/s]"
"Flow Rate OUT [m^3/s]"
"Net Flow Rate [m^3/s]"
"Net Cumulated Volume [m^3]"
ZONE T="Flow Budget Zone#2"
 0.3000000000000000E+03  0.0000000000000000E+00  0.4710245092402693E-03 -0.4710245092402693E-03 -0.7065367638604039E-01
 0.6000000000000000E+03  0.0000000000000000E+00  0.2560054422130512E-03 -0.2560054422130512E-03 -0.1797081691040385E+00
 0.9000000000000000E+03  0.0000000000000000E+00  0.1641889855839121E-03 -0.1641889855839121E-03 -0.2427373332735830E+00
 0.1200000000000000E+04  0.3850262531868178E-05  0.1167664419717681E-03 -0.1129161794399000E-03 -0.2843031080271548E+00
 0.1500000000000000E+04  0.7563057871949131E-08  0.8400754558085283E-04 -0.8399998252298088E-04 -0.3138405323215869E+00
 0.1800000000000000E+04  0.4402768367484232E-05  0.6470258824191972E-04 -0.6029981987443549E-04 -0.3354855026811994E+00
 0.2100000000000000E+04  0.7962898150275103E-06  0.4814134323941323E-04 -0.4734505342438572E-04 -0.3516322336760225E+00
 0.2400000000000000E+04  0.3696366702638679E-05  0.3750532250686417E-04 -0.3380895580422549E-04 -0.3638053350603142E+00
 0.2700000000000000E+04  0.8954402034222207E-06  0.2773961854780872E-04 -0.2684417834438650E-04 -0.3729033051826060E+00
 0.3000000000000000E+04  0.3010287036947379E-05  0.2125227362517392E-04 -0.1824198658822654E-04 -0.3796662299224979E+00
 0.3300000000000000E+04  0.9156106505868461E-06  0.1507842343781694E-04 -0.1416281278723010E-04 -0.3845269498288164E+00
 0.3600000000000000E+04  0.2574838194191219E-05  0.1086895188096664E-04 -0.8294113686775420E-05 -0.3878954887999173E+00
 0.3900000000000000E+04  0.0000000000000000E+00  0.6584415008555262E-05 -0.6584415008555262E-05 -0.3901272681042168E+00
 0.4200000000000000E+04  0.3722316334174122E-06  0.3503589862339864E-05 -0.3131358228922452E-05 -0.3915846340898385E+00
 0.4500000000000000E+04  0.1117269724782544E-06  0.8332369641394154E-06 -0.7215099916611610E-06 -0.3921625643229261E+00
 0.4800000000000000E+04  0.2079517894215961E-05  0.0000000000000000E+00  0.2079517894215961E-05 -0.3919588631375429E+00
 0.5100000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.3916469354534104E+00
