TITLE="Layer_3"
VARIABLES="Time [s]"
"Flow Rate IN [m^3/s]"
"Flow Rate OUT [m^3/s]"
"Net Flow Rate [m^3/s]"
"Net Cumulated Volume [m^3]"
ZONE T="Flow Budget Zone#3"
 0.3000000000000000E+03  0.0000000000000000E+00  0.8914460895702739E-04 -0.8914460895702739E-04 -0.1337169134355411E-01
 0.6000000000000000E+03  0.1589530903613919E-05  0.5243353058401663E-04 -0.5084399968040272E-04 -0.3436998263916862E-01
 0.9000000000000000E+03  0.0000000000000000E+00  0.3720505119361398E-04 -0.3720505119361398E-04 -0.4757734027027113E-01
 0.1200000000000000E+04  0.2156015059462857E-06  0.2828231293140608E-04 -0.2806671142545979E-04 -0.5736810466313219E-01
 0.1500000000000000E+04  0.0000000000000000E+00  0.2247585443113876E-04 -0.2247585443113876E-04 -0.6494948954162197E-01
 0.1800000000000000E+04  0.0000000000000000E+00  0.1770313796770603E-04 -0.1770313796770603E-04 -0.7097633840144868E-01
 0.2100000000000000E+04  0.0000000000000000E+00  0.1363685353706771E-04 -0.1363685353706771E-04 -0.7567733712716473E-01
 0.2400000000000000E+04  0.0000000000000000E+00  0.1068913336479404E-04 -0.1068913336479404E-04 -0.7932623516244400E-01
 0.2700000000000000E+04  0.0000000000000000E+00  0.7933719279317172E-05 -0.7933719279317172E-05 -0.8211966305906068E-01
 0.3000000000000000E+04  0.1090947556805648E-06  0.5487487023248482E-05 -0.5378392267567917E-05 -0.8411647979109345E-01
 0.3300000000000000E+04  0.0000000000000000E+00  0.3753006537766533E-05 -0.3753006537766533E-05 -0.8548618961189361E-01
 0.3600000000000000E+04  0.0000000000000000E+00  0.2066369683901875E-05 -0.2066369683901875E-05 -0.8635909604514387E-01
 0.3900000000000000E+04  0.0000000000000000E+00  0.9781379684050957E-06 -0.9781379684050957E-06 -0.8681577219298992E-01
 0.4200000000000000E+04  0.0000000000000000E+00  0.6673753668841537E-07 -0.6673753668841537E-07 -0.8697250351875394E-01
 0.4500000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4800000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.5100000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.5400000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.5700000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.6000000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.6300000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.6600000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.6900000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.7200000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.7500000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.7800000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.8100000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.8400000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.8700000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.9000000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.9300000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.9600000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.9900000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1020000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1050000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
