TITLE="Layer_2"
VARIABLES="Time [s]"
"Flow Rate IN [m^3/s]"
"Flow Rate OUT [m^3/s]"
"Net Flow Rate [m^3/s]"
"Net Cumulated Volume [m^3]"
ZONE T="Flow Budget Zone#2"
 0.3000000000000000E+03  0.0000000000000000E+00  0.1412561006452961E-02 -0.1412561006452961E-02 -0.2118841509679442E+00
 0.6000000000000000E+03  0.3481299032369930E-03  0.5191998456458701E-03 -0.1710699424088771E-03 -0.4494287932972199E+00
 0.9000000000000000E+03  0.7311052263809462E-05  0.6950237955725028E-04 -0.6219132729344082E-04 -0.4844179837525676E+00
 0.1200000000000000E+04  0.1285141973584539E-03  0.4493586876174440E-04  0.8357832859670955E-04 -0.4812099335570773E+00
 0.1500000000000000E+04  0.0000000000000000E+00  0.3076224738761623E-04 -0.3076224738761623E-04 -0.4732875213757132E+00
 0.1800000000000000E+04  0.0000000000000000E+00  0.2100278772499620E-04 -0.2100278772499620E-04 -0.4810522766426051E+00
 0.2100000000000000E+04  0.0000000000000000E+00  0.1458771912693086E-04 -0.1458771912693086E-04 -0.4863908526703941E+00
 0.2400000000000000E+04  0.0000000000000000E+00  0.9775760417801128E-05 -0.9775760417801128E-05 -0.4900453746021039E+00
 0.2700000000000000E+04  0.0000000000000000E+00  0.6268292024758828E-05 -0.6268292024758828E-05 -0.4924519824684879E+00
 0.3000000000000000E+04  0.0000000000000000E+00  0.3608084295564598E-05 -0.3608084295564598E-05 -0.4939334389165364E+00
 0.3300000000000000E+04  0.0000000000000000E+00  0.1596149661044628E-05 -0.1596149661044628E-05 -0.4947140740100278E+00
 0.3600000000000000E+04  0.2346800996878276E-06  0.1970551246501499E-06  0.3762497503767765E-07 -0.4949478527129288E+00
 0.3900000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.4200000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.4500000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.4800000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.5100000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.5400000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.5700000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.6000000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.6300000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.6600000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.6900000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.7200000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.7500000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.7800000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.8100000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.8400000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.8700000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
 0.9000000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.4949422089666732E+00
