TITLE="Layer_5"
VARIABLES="Time [s]"
"Flow Rate IN [m^3/s]"
"Flow Rate OUT [m^3/s]"
"Net Flow Rate [m^3/s]"
"Net Cumulated Volume [m^3]"
ZONE T="Flow Budget Zone#5"
 0.1110000000000000E+05  0.1934689814297303E-06  0.0000000000000000E+00  0.1934689814297303E-06  0.6019790242056671E-03
 0.1140000000000000E+05  0.1977386334460853E-06  0.0000000000000000E+00  0.1977386334460853E-06  0.6606601664370395E-03
 0.1170000000000000E+05  0.2018226196775835E-06  0.0000000000000000E+00  0.2018226196775835E-06  0.7205943544055898E-03
 0.1200000000000000E+05  0.2057314649040978E-06  0.0000000000000000E+00  0.2057314649040978E-06  0.7817274670928420E-03
 0.1230000000000000E+05  0.2094749323562438E-06  0.0000000000000000E+00  0.2094749323562438E-06  0.8440084266818932E-03
 0.1260000000000000E+05  0.2130620745284393E-06  0.0000000000000000E+00  0.2130620745284393E-06  0.9073889777145957E-03
 0.1290000000000000E+05  0.2165012851576293E-06  0.0000000000000000E+00  0.2165012851576293E-06  0.9718234816675059E-03
 0.1320000000000000E+05  0.2198003504682244E-06  0.0000000000000000E+00  0.2198003504682244E-06  0.1037268727011384E-02
 0.1350000000000000E+05  0.2229664987291925E-06  0.0000000000000000E+00  0.2229664987291925E-06  0.1103683754390996E-02
 0.1380000000000000E+05  0.2260064471891308E-06  0.0000000000000000E+00  0.2260064471891308E-06  0.1171029696278745E-02
 0.1410000000000000E+05  0.2289264458617295E-06  0.0000000000000000E+00  0.2289264458617295E-06  0.1239269630236374E-02
 0.1440000000000000E+05  0.2317323183107607E-06  0.0000000000000000E+00  0.2317323183107607E-06  0.1308368444862247E-02
 0.1470000000000000E+05  0.2344294988263136E-06  0.0000000000000000E+00  0.2344294988263136E-06  0.1378292717432809E-02
 0.1500000000000000E+05  0.2370230666049459E-06  0.0000000000000000E+00  0.2370230666049459E-06  0.1449010602247497E-02
 0.1530000000000000E+05  0.2395177766715770E-06  0.0000000000000000E+00  0.2395177766715770E-06  0.1520491728738976E-02
 0.1560000000000000E+05  0.2419180880494453E-06  0.0000000000000000E+00  0.2419180880494453E-06  0.1592707108447129E-02
 0.1590000000000000E+05  0.2442281889633910E-06  0.0000000000000000E+00  0.2442281889633910E-06  0.1665629049999055E-02
 0.1620000000000000E+05  0.2464520197927413E-06  0.0000000000000000E+00  0.2464520197927413E-06  0.1739231081312475E-02
 0.1650000000000000E+05  0.2485932936793913E-06  0.0000000000000000E+00  0.2485932936793913E-06  0.1813487878333295E-02
 0.1680000000000000E+05  0.2506555149349552E-06  0.0000000000000000E+00  0.2506555149349552E-06  0.1888375199625447E-02
 0.1710000000000000E+05  0.2526419957418974E-06  0.0000000000000000E+00  0.2526419957418974E-06  0.1963869826226974E-02
 0.1740000000000000E+05  0.2545558711874736E-06  0.0000000000000000E+00  0.2545558711874736E-06  0.2039949506266380E-02
 0.1770000000000000E+05  0.2564001125838990E-06  0.0000000000000000E+00  0.2564001125838990E-06  0.2116592903832086E-02
 0.1800000000000000E+05  0.2581775397692324E-06  0.0000000000000000E+00  0.2581775397692324E-06  0.2193779551685056E-02
 0.1830000000000000E+05  0.2598908319334059E-06  0.0000000000000000E+00  0.2598908319334059E-06  0.2271489807440451E-02
 0.1860000000000000E+05  0.2615425374961195E-06  0.0000000000000000E+00  0.2615425374961195E-06  0.2349704812854880E-02
 0.1890000000000000E+05  0.2631350831038627E-06  0.0000000000000000E+00  0.2631350831038627E-06  0.2428406455944877E-02
 0.1920000000000000E+05  0.2646707815967135E-06  0.0000000000000000E+00  0.2646707815967135E-06  0.2507577335649964E-02
 0.1950000000000000E+05  0.2661518394167999E-06  0.0000000000000000E+00  0.2661518394167999E-06  0.2587200728801991E-02
 0.1980000000000000E+05  0.2675803632547441E-06  0.0000000000000000E+00  0.2675803632547441E-06  0.2667260559202723E-02
 0.2010000000000000E+05  0.2689583660627154E-06  0.0000000000000000E+00  0.2689583660627154E-06  0.2747741368600341E-02
 0.2040000000000000E+05  0.2702877726818190E-06  0.0000000000000000E+00  0.2702877726818190E-06  0.2828628289412021E-02
 0.2070000000000000E+05  0.2715704248187737E-06  0.0000000000000000E+00  0.2715704248187737E-06  0.2909907019037110E-02
 0.2100000000000000E+05  0.2728080857623269E-06  0.0000000000000000E+00  0.2728080857623269E-06  0.2991563795624275E-02
 0.2130000000000000E+05  0.2740024446347091E-06  0.0000000000000000E+00  0.2740024446347091E-06  0.3073585375183831E-02
 0.2160000000000000E+05  0.2751551203285219E-06  0.0000000000000000E+00  0.2751551203285219E-06  0.3155959009928315E-02
 0.2190000000000000E+05  0.2762676651310082E-06  0.0000000000000000E+00  0.2762676651310082E-06  0.3238672427747245E-02
 0.2220000000000000E+05  0.2773415681545495E-06  0.0000000000000000E+00  0.2773415681545495E-06  0.3321713812740078E-02
 0.2250000000000000E+05  0.2783782583706026E-06  0.0000000000000000E+00  0.2783782583706026E-06  0.3405071786718851E-02
 0.2280000000000000E+05  0.2793791076167611E-06  0.0000000000000000E+00  0.2793791076167611E-06  0.3488735391616956E-02
 0.2310000000000000E+05  0.2803454332403791E-06  0.0000000000000000E+00  0.2803454332403791E-06  0.3572694072745527E-02
 0.2340000000000000E+05  0.2812785006994100E-06  0.0000000000000000E+00  0.2812785006994100E-06  0.3656937662836495E-02
 0.2370000000000000E+05  0.2821795258807692E-06  0.0000000000000000E+00  0.2821795258807692E-06  0.3741456366823522E-02
 0.2400000000000000E+05  0.2830496773520457E-06  0.0000000000000000E+00  0.2830496773520457E-06  0.3826240747308444E-02
 0.2430000000000000E+05  0.2838900784829881E-06  0.0000000000000000E+00  0.2838900784829881E-06  0.3911281710683699E-02
 0.2460000000000000E+05  0.2847018093698003E-06  0.0000000000000000E+00  0.2847018093698003E-06  0.3996570493861618E-02
 0.2490000000000000E+05  0.2854859087554401E-06  0.0000000000000000E+00  0.2854859087554401E-06  0.4082098651580404E-02
 0.2520000000000000E+05  0.2862433757235493E-06  0.0000000000000000E+00  0.2862433757235493E-06  0.4167858044252253E-02
 0.2550000000000000E+05  0.2869751714194353E-06  0.0000000000000000E+00  0.2869751714194353E-06  0.4253840826323700E-02
 0.2580000000000000E+05  0.2876822205816551E-06  0.0000000000000000E+00  0.2876822205816551E-06  0.4340039435123864E-02
 0.2610000000000000E+05  0.2883654131233113E-06  0.0000000000000000E+00  0.2883654131233113E-06  0.4426446580179610E-02
 0.2640000000000000E+05  0.2890256054440313E-06  0.0000000000000000E+00  0.2890256054440313E-06  0.4513055232964711E-02
 0.2670000000000000E+05  0.2896636218616155E-06  0.0000000000000000E+00  0.2896636218616155E-06  0.4599858617060558E-02
 0.2700000000000000E+05  0.2902802558353156E-06  0.0000000000000000E+00  0.2902802558353156E-06  0.4686850198715098E-02
 0.2730000000000000E+05  0.2908762712876126E-06  0.0000000000000000E+00  0.2908762712876126E-06  0.4774023677783536E-02
 0.2760000000000000E+05  0.2914524036985836E-06  0.0000000000000000E+00  0.2914524036985836E-06  0.4861372979031466E-02
 0.2790000000000000E+05  0.2920093611936541E-06  0.0000000000000000E+00  0.2920093611936541E-06  0.4948892243765302E-02
 0.2820000000000000E+05  0.2925478257695060E-06  0.0000000000000000E+00  0.2925478257695060E-06  0.5036575821809776E-02
 0.2850000000000000E+05  0.2930684541238717E-06  0.0000000000000000E+00  0.2930684541238717E-06  0.5124418263793783E-02
 0.2880000000000000E+05  0.2935718787375538E-06  0.0000000000000000E+00  0.2935718787375538E-06  0.5212414313722997E-02
 0.2910000000000000E+05  0.2940587087847354E-06  0.0000000000000000E+00  0.2940587087847354E-06  0.5300558901851340E-02
 0.2940000000000000E+05  0.2945295310742704E-06  0.0000000000000000E+00  0.2945295310742704E-06  0.5388847137830190E-02
 0.2970000000000000E+05  0.2949849107898957E-06  0.0000000000000000E+00  0.2949849107898957E-06  0.5477274304109815E-02
 0.3000000000000000E+05  0.2954253924358048E-06  0.0000000000000000E+00  0.2954253924358048E-06  0.5565835849593670E-02
 0.3030000000000000E+05  0.2959458646621709E-06  0.0000000000000000E+00  0.2959458646621709E-06  0.5654541538158367E-02
 0.3060000000000000E+05  0.2963585054197666E-06  0.0000000000000000E+00  0.2963585054197666E-06  0.5743387193670658E-02
 0.3090000000000000E+05  0.2967363928131405E-06  0.0000000000000000E+00  0.2967363928131405E-06  0.5832351428405593E-02
 0.3120000000000000E+05  0.2970981907722184E-06  0.0000000000000000E+00  0.2970981907722184E-06  0.5921426615943397E-02
 0.3150000000000000E+05  0.2974489809570008E-06  0.0000000000000000E+00  0.2974489809570008E-06  0.6010608691702781E-02
 0.3180000000000000E+05  0.2977902343935068E-06  0.0000000000000000E+00  0.2977902343935068E-06  0.6099894574005357E-02
 0.3210000000000000E+05  0.2981224014283513E-06  0.0000000000000000E+00  0.2981224014283513E-06  0.6189281469378635E-02
 0.3240000000000000E+05  0.2984456387556772E-06  0.0000000000000000E+00  0.2984456387556772E-06  0.6278766675406239E-02
 0.3270000000000000E+05  0.2987600308592282E-06  0.0000000000000000E+00  0.2987600308592282E-06  0.6368347525848475E-02
 0.3300000000000000E+05  0.2990656619421430E-06  0.0000000000000000E+00  0.2990656619421430E-06  0.6458021379768680E-02
 0.3330000000000000E+05  0.2993626385444696E-06  0.0000000000000000E+00  0.2993626385444696E-06  0.6547785624841673E-02
 0.3360000000000000E+05  0.2996510943012817E-06  0.0000000000000000E+00  0.2996510943012817E-06  0.6637637684768535E-02
 0.3390000000000000E+05  0.2999311878541523E-06  0.0000000000000000E+00  0.2999311878541523E-06  0.6727575027091851E-02
 0.3420000000000000E+05  0.3002030982596259E-06  0.0000000000000000E+00  0.3002030982596259E-06  0.6817595170008918E-02
 0.3450000000000000E+05  0.3004670200290474E-06  0.0000000000000000E+00  0.3004670200290474E-06  0.6907695687752218E-02
 0.3480000000000000E+05  0.3007231582965851E-06  0.0000000000000000E+00  0.3007231582965851E-06  0.6997874214501063E-02
 0.3510000000000000E+05  0.3009717248705793E-06  0.0000000000000000E+00  0.3009717248705793E-06  0.7088128446976137E-02
 0.3540000000000000E+05  0.3012129349229858E-06  0.0000000000000000E+00  0.3012129349229858E-06  0.7178456145945172E-02
 0.3570000000000000E+05  0.3014470044951009E-06  0.0000000000000000E+00  0.3014470044951009E-06  0.7268855136857886E-02
 0.3600000000000000E+05  0.3016741485000135E-06  0.0000000000000000E+00  0.3016741485000135E-06  0.7359323309807153E-02
 0.3630000000000000E+05  0.3018945792303637E-06  0.0000000000000000E+00  0.3018945792303637E-06  0.7449858618966710E-02
 0.3660000000000000E+05  0.3021085053908548E-06  0.0000000000000000E+00  0.3021085053908548E-06  0.7540459081659893E-02
 0.3690000000000000E+05  0.3023161313031402E-06  0.0000000000000000E+00  0.3023161313031402E-06  0.7631122777163992E-02
 0.3720000000000000E+05  0.3025176564298181E-06  0.0000000000000000E+00  0.3025176564298181E-06  0.7721847845323935E-02
 0.3750000000000000E+05  0.3027132750532365E-06  0.0000000000000000E+00  0.3027132750532365E-06  0.7812632485046394E-02
 0.3780000000000000E+05  0.3029031760336888E-06  0.0000000000000000E+00  0.3029031760336888E-06  0.7903474952709433E-02
 0.3810000000000000E+05  0.3030875427350650E-06  0.0000000000000000E+00  0.3030875427350650E-06  0.7994373560524745E-02
 0.3840000000000000E+05  0.3032665530408027E-06  0.0000000000000000E+00  0.3032665530408027E-06  0.8085326674891126E-02
 0.3870000000000000E+05  0.3034403793307261E-06  0.0000000000000000E+00  0.3034403793307261E-06  0.8176332714746855E-02
 0.3900000000000000E+05  0.3036091885231401E-06  0.0000000000000000E+00  0.3036091885231401E-06  0.8267390149924935E-02
 0.3930000000000000E+05  0.3037731422494408E-06  0.0000000000000000E+00  0.3037731422494408E-06  0.8358497499540821E-02
 0.3960000000000000E+05  0.3039323968813835E-06  0.0000000000000000E+00  0.3039323968813835E-06  0.8449653330410445E-02
 0.3990000000000000E+05  0.3040871037092034E-06  0.0000000000000000E+00  0.3040871037092034E-06  0.8540856255499033E-02
 0.4020000000000000E+05  0.3042374090344235E-06  0.0000000000000000E+00  0.3042374090344235E-06  0.8632104932410577E-02
 0.4050000000000000E+05  0.3043834543522983E-06  0.0000000000000000E+00  0.3043834543522983E-06  0.8723398061918585E-02
 0.4080000000000000E+05  0.3045253764163378E-06  0.0000000000000000E+00  0.3045253764163378E-06  0.8814734386533881E-02
 0.4110000000000000E+05  0.3046633074535487E-06  0.0000000000000000E+00  0.3046633074535487E-06  0.8906112689114364E-02
 0.4140000000000000E+05  0.3047973752807960E-06  0.0000000000000000E+00  0.3047973752807960E-06  0.8997531791524516E-02
 0.4170000000000000E+05  0.3049277034004438E-06  0.0000000000000000E+00  0.3049277034004438E-06  0.9088990553326702E-02
 0.4200000000000000E+05  0.3050544112278338E-06  0.0000000000000000E+00  0.3050544112278338E-06  0.9180487870520945E-02
 0.4230000000000000E+05  0.3051776141596856E-06  0.0000000000000000E+00  0.3051776141596856E-06  0.9272022674329073E-02
 0.4260000000000000E+05  0.3052974236802394E-06  0.0000000000000000E+00  0.3052974236802394E-06  0.9363593930005062E-02
 0.4290000000000000E+05  0.3054139475848732E-06  0.0000000000000000E+00  0.3054139475848732E-06  0.9455200635694829E-02
 0.4320000000000000E+05  0.3055272899812818E-06  0.0000000000000000E+00  0.3055272899812818E-06  0.9546841821329753E-02
