TITLE="Layer_5"
VARIABLES="Time [s]"
"Flow Rate IN [m^3/s]"
"Flow Rate OUT [m^3/s]"
"Net Flow Rate [m^3/s]"
"Net Cumulated Volume [m^3]"
ZONE T="Flow Budget Zone#5"
 0.3000000000000000E+03  0.2151135906203324E-08  0.1082629599053354E-06 -0.1061118239991320E-06 -0.1591677359986981E-04
 0.6000000000000000E+03  0.6800332767113292E-08  0.1081246170602076E-06 -0.1013242842930943E-06 -0.4703218984370377E-04
 0.9000000000000000E+03  0.1312383491495291E-07  0.1077694258862086E-06 -0.9464559097125574E-07 -0.7642767113335628E-04
 0.1200000000000000E+04  0.2028834152813393E-07  0.1070894550797682E-06 -0.8680111355163431E-07 -0.1036446768117898E-03
 0.1500000000000000E+04  0.2774351621931425E-07  0.1059991104036221E-06 -0.7825559418430782E-07 -0.1284031829721811E-03
 0.1800000000000000E+04  0.3522081083842709E-07  0.1044414957284963E-06 -0.6922068489006918E-07 -0.1505246248333377E-03
 0.2100000000000000E+04  0.4261896515705293E-07  0.1023844858687140E-06 -0.5976552071166111E-07 -0.1698725556735972E-03
 0.2400000000000000E+04  0.4991082261875568E-07  0.9981324817793374E-07 -0.4990242555917806E-07 -0.1863227476142231E-03
 0.2700000000000000E+04  0.5707836863303784E-07  0.9672362683124701E-07 -0.3964525819820917E-07 -0.1997549001778312E-03
 0.3000000000000000E+04  0.6408460254804873E-07  0.9311804365877852E-07 -0.2903344111072979E-07 -0.2100567050741720E-03
 0.3300000000000000E+04  0.7087005273387001E-07  0.8900375706263246E-07 -0.1813370432876245E-07 -0.2171317768900958E-03
 0.3600000000000000E+04  0.7735861957750814E-07  0.8439262688100715E-07 -0.7034007303499006E-08 -0.2209069336349351E-03
 0.3900000000000000E+04  0.8347186220300322E-07  0.7930145266377229E-07  0.4170409539230933E-08 -0.2213364732995753E-03
 0.4200000000000000E+04  0.8914104813641927E-07  0.7375220572664520E-07  0.1538884240977407E-07 -0.2184025855072245E-03
 0.4500000000000000E+04  0.9431137375905476E-07  0.6777187242586365E-07  0.2653950133319112E-07 -0.2121133339457797E-03
 0.4800000000000000E+04  0.9894154515030203E-07  0.6139193358968001E-07  0.3754961156062202E-07 -0.2024999670117078E-03
 0.5100000000000000E+04  0.1030026380738504E-06  0.5464762061494150E-07  0.4835501745890892E-07 -0.1896142726587781E-03
 0.5400000000000000E+04  0.1064775475793093E-06  0.4757707159508016E-07  0.5890047598422910E-07 -0.1735259486423074E-03
 0.5700000000000000E+04  0.1093604862637730E-06  0.4022046195650397E-07  0.6914002430726907E-07 -0.1543198735985827E-03
 0.6000000000000000E+04  0.1116577981473453E-06  0.3261913198191824E-07  0.7903866616542710E-07 -0.1320930700276783E-03
 0.6300000000000000E+04  0.1133848841094640E-06  0.2481474955948410E-07  0.8857013454997994E-07 -0.1069517499203672E-03
 0.6600000000000000E+04  0.1145667241074543E-06  0.1684853583692613E-07  0.9771818827052818E-07 -0.7900850149729100E-04
 0.6900000000000000E+04  0.1152354704994575E-06  0.8760561177748385E-08  0.1064749093217091E-06 -0.4837953685845540E-04
 0.7200000000000000E+04  0.1154286568895468E-06  0.5891427720834935E-09  0.1148395141174633E-06 -0.1518237334257954E-04
 0.7500000000000000E+04  0.1228170098392412E-06  0.0000000000000000E+00  0.1228170098392412E-06  0.2046610525092613E-04
 0.7800000000000000E+04  0.1304168670964795E-06  0.0000000000000000E+00  0.1304168670964795E-06  0.5845118679128424E-04
 0.8100000000000000E+04  0.1376518074641653E-06  0.0000000000000000E+00  0.1376518074641653E-06  0.9866148797538096E-04
 0.8400000000000000E+04  0.1445367576605666E-06  0.0000000000000000E+00  0.1445367576605666E-06  0.1409897727440907E-03
 0.8700000000000000E+04  0.1510879874749507E-06  0.0000000000000000E+00  0.1510879874749507E-06  0.1853334845144183E-03
 0.9000000000000000E+04  0.1573224268099473E-06  0.0000000000000000E+00  0.1573224268099473E-06  0.2315950466571530E-03
 0.9300000000000000E+04  0.1632571439046175E-06  0.0000000000000000E+00  0.1632571439046175E-06  0.2796819822643377E-03
 0.9600000000000000E+04  0.1689089616907079E-06  0.0000000000000000E+00  0.1689089616907079E-06  0.3295068981036365E-03
 0.9900000000000000E+04  0.1742941872620503E-06  0.0000000000000000E+00  0.1742941872620503E-06  0.3809873704465502E-03
 0.1020000000000000E+05  0.1794284316642769E-06  0.0000000000000000E+00  0.1794284316642769E-06  0.4340457632854993E-03
 0.1050000000000000E+05  0.1843264993808868E-06  0.0000000000000000E+00  0.1843264993808868E-06  0.4886090029422739E-03
 0.1080000000000000E+05  0.1890023304726689E-06  0.0000000000000000E+00  0.1890023304726689E-06  0.5446083274203073E-03
